Time,192.168.1.207:5000.T,192.168.1.207:5000.field,192.168.1.207:5000.T_approach,192.168.1.207:5000.field_approach,192.168.1.207:5000.field_driven,192.168.1.207:5000.chamber_state
6.19,300.332,nan,1,1,1,Sealed (condition unknown)
6.42,300.332,,1,1,1,Sealed (condition unknown)
6.65,300.3314,,1,1,1,Sealed (condition unknown)
6.87,300.331,,1,1,1,Sealed (condition unknown)
7.1,300.331,,1,1,1,Sealed (condition unknown)
7.32,300.331,,1,1,1,Sealed (condition unknown)
7.55,300.333,,1,1,1,Sealed (condition unknown)
7.78,300.331,,1,1,1,Sealed (condition unknown)
8.01,300.331,,1,1,1,Sealed (condition unknown)
8.23,300.331,,1,1,1,Sealed (condition unknown)
8.46,300.3324,,1,1,1,Sealed (condition unknown)
8.69,300.3324,,1,1,1,Sealed (condition unknown)
8.92,300.3324,,1,1,1,Sealed (condition unknown)
9.15,300.3304,,1,1,1,Sealed (condition unknown)
9.37,300.3304,,1,1,1,Sealed (condition unknown)
9.62,300.3304,,1,1,1,Sealed (condition unknown)
9.85,300.3304,,1,1,1,Sealed (condition unknown)
10.07,300.3324,,1,1,1,Sealed (condition unknown)
10.3,300.3302,,1,1,1,Sealed (condition unknown)
10.52,300.3302,,1,1,1,Sealed (condition unknown)
10.8,300.3314,,1,1,1,Sealed (condition unknown)
11.06,300.332,,1,1,1,Sealed (condition unknown)
11.29,300.332,,1,1,1,Sealed (condition unknown)
11.52,300.332,,1,1,1,Sealed (condition unknown)
11.75,300.3304,,1,1,1,Sealed (condition unknown)
11.99,300.3304,,1,1,1,Sealed (condition unknown)
12.22,300.3304,,1,1,1,Sealed (condition unknown)
12.45,300.332,,1,1,1,Sealed (condition unknown)
12.68,300.332,,1,1,1,Sealed (condition unknown)
12.91,300.3304,,1,1,1,Sealed (condition unknown)
13.16,300.3304,,1,1,1,Sealed (condition unknown)
13.4,300.3326,,1,1,1,Sealed (condition unknown)
13.63,300.3324,,1,1,1,Sealed (condition unknown)
13.86,300.3324,,1,1,1,Sealed (condition unknown)
14.08,300.3324,,1,1,1,Sealed (condition unknown)
14.3,300.3302,,1,1,1,Sealed (condition unknown)
14.53,300.3314,,1,1,1,Sealed (condition unknown)
14.76,300.3314,,1,1,1,Sealed (condition unknown)
14.99,300.3324,,1,1,1,Sealed (condition unknown)
15.22,300.3324,,1,1,1,Sealed (condition unknown)
15.45,300.3304,,1,1,1,Sealed (condition unknown)
15.69,300.3304,,1,1,1,Sealed (condition unknown)
15.91,300.332,,1,1,1,Sealed (condition unknown)
16.14,300.332,,1,1,1,Sealed (condition unknown)
16.37,300.332,,1,1,1,Sealed (condition unknown)
16.6,300.332,,1,1,1,Sealed (condition unknown)
16.83,300.3312,,1,1,1,Sealed (condition unknown)
17.05,300.332,,1,1,1,Sealed (condition unknown)
17.29,300.332,,1,1,1,Sealed (condition unknown)
17.52,300.3336,,1,1,1,Sealed (condition unknown)
17.75,300.3314,,1,1,1,Sealed (condition unknown)
17.98,300.3314,,1,1,1,Sealed (condition unknown)
18.2,300.3314,,1,1,1,Sealed (condition unknown)
18.42,300.3326,,1,1,1,Sealed (condition unknown)
18.65,300.333,,1,1,1,Sealed (condition unknown)
18.88,300.333,,1,1,1,Sealed (condition unknown)
19.11,300.333,,1,1,1,Sealed (condition unknown)
19.34,300.3324,,1,1,1,Sealed (condition unknown)
19.56,300.3324,,1,1,1,Sealed (condition unknown)
19.87,300.3324,,1,1,1,Sealed (condition unknown)
20.12,300.334,,1,1,1,Sealed (condition unknown)
20.39,300.3326,,1,1,1,Sealed (condition unknown)
20.62,300.3326,,1,1,1,Sealed (condition unknown)
20.85,300.3324,,1,1,1,Sealed (condition unknown)
21.11,300.3334,,1,1,1,Sealed (condition unknown)
21.33,300.3334,,1,1,1,Sealed (condition unknown)
21.56,300.3334,,1,1,1,Sealed (condition unknown)
21.79,300.332,,1,1,1,Sealed (condition unknown)
22.02,300.3324,,1,1,1,Sealed (condition unknown)
22.27,300.3324,,1,1,1,Sealed (condition unknown)
22.49,300.3324,,1,1,1,Sealed (condition unknown)
22.73,300.334,,1,1,1,Sealed (condition unknown)
22.96,300.3316,,1,1,1,Sealed (condition unknown)
