Time,192.168.1.207:5000.T,192.168.1.207:5000.field
610.44,300.42
610.63,300.4174,nan
610.86,300.419,
611.09,300.419,
611.32,300.419,
611.54,300.4184,
611.76,300.4186,
611.98,300.4186,
612.21,300.4186,
612.44,300.4182,
612.68,300.4196,
612.93,300.4196,
613.16,300.4174,
613.41,300.4188,
613.63,300.4188,
613.85,300.4188,
614.07,300.4186,
614.29,300.4184,
614.52,300.4184,
614.76,300.4184,
615.0,300.4198,
615.22,300.4198,
615.46,300.4198,
615.71,300.4174,
615.96,300.4184,
616.18,300.4184,
616.4,300.4184,
616.63,300.4186,
616.85,300.4182,
617.1,300.4182,
617.34,300.4178,
617.59,300.4196,
617.83,300.4196,
618.08,300.4196,
618.32,300.4176,
618.57,300.419,
618.82,300.419,
619.04,300.4186,
619.28,300.4186,
619.52,300.4186,
619.8,300.4176,
620.04,300.4176,
620.27,300.42,
620.5,300.42,
620.75,300.4168,
620.99,300.4182,
621.23,300.4182,
621.47,300.4182,
621.7,300.4186,
621.92,300.4186,
622.14,300.4186,
622.36,300.4186,
622.58,300.4186,
622.8,300.4204,
623.06,300.4204,
623.29,300.4178,
623.54,300.4192,
623.77,300.4192,
624.0,300.4192,
624.26,300.4186,
624.49,300.4186,
624.73,300.4186,
624.99,300.4186,
625.23,300.4204,
625.49,300.4204,
625.72,300.4204,
625.95,300.4196,
626.17,300.4196,
626.39,300.4196,
626.61,300.4194,
626.83,300.4194,
627.05,300.4194,
627.27,300.4194,
627.48,300.4194,
627.7,300.421,
627.93,300.421,
628.17,300.421,
628.41,300.4188,
628.64,300.4198,
628.88,300.4198,
629.12,300.4186,
629.36,300.4194,
629.59,300.4194,
629.83,300.4194,
630.08,300.4186,
630.33,300.4212,
630.58,300.4212,
630.82,300.4186,
631.06,300.42,
631.3,300.42,
631.54,300.42,
631.78,300.4194,
632.03,300.4194,
632.27,300.4194,
632.5,300.4186,
632.74,300.421,
632.98,300.421,
633.22,300.421,
633.45,300.4182,
633.69,300.419,
633.94,300.419,
634.18,300.4192,
634.42,300.419,
634.65,300.419,
634.94,300.419,
635.15,300.419,
635.38,300.421,
635.61,300.421,
635.86,300.4186,
636.08,300.42,
636.31,300.42,
636.53,300.42,
636.75,300.42,
636.98,300.4198,
637.2,300.4198,
637.45,300.4198,
637.69,300.4194,
637.94,300.4212,
638.18,300.4212,
638.41,300.4192,
638.66,300.421,
638.9,300.421,
639.13,300.421,
639.38,300.42,
639.6,300.42,
639.82,300.42,
640.05,300.4192,
640.27,300.4214,
640.51,300.4214,
640.74,300.4214,
640.98,300.419,
641.22,300.4208,
641.46,300.4208,
641.7,300.4204,
641.94,300.42,
642.19,300.42,
642.42,300.42,
642.64,300.4196,
642.87,300.4212,
643.09,300.4212,
643.31,300.4212,
643.54,300.4192,
643.76,300.4212,
644.08,300.4212,
645.81,300.422,
647.28,300.4229,
648.94,300.4216,
650.79,300.4216,
651.03,300.42,
651.27,300.4212,
651.49,300.4212,
651.72,300.4212,
651.94,300.4212,
652.16,300.421,
652.39,300.421,
652.61,300.421,
652.83,300.421,
653.06,300.4216,
653.28,300.4216,
653.51,300.42,
653.73,300.4214,
653.95,300.4214,
654.17,300.4214,
654.39,300.4212,
654.62,300.4214,
654.85,300.4214,
655.07,300.4214,
655.31,300.4198,
655.53,300.4228,
655.76,300.4228,
655.99,300.42,
656.22,300.42,
656.45,300.4212,
656.67,300.4212,
656.9,300.4214,
657.13,300.4212,
